id,pred_score
UniRef100_A0A414ZPS3 CRISPR-associated endonuclease Cas9 n=1 Tax=[Eubacterium] rectale TaxID=39491 RepID=A0A414ZPS3_9FIRM,0.8595709605111035
UniRef100_A0A414ZLT7 CRISPR-associated endonuclease Cas9 n=1 Tax=[Eubacterium] rectale TaxID=39491 RepID=A0A414ZLT7_9FIRM,0.5260706980242384
UniRef100_A0A3G8Y985 CRISPR-associated endonuclease Cas9 n=1 Tax=Epilithonimonas vandammei TaxID=2487072 RepID=A0A3G8Y985_9FLAO,0.9406475705966063
UniRef100_A0A417PQK5 CRISPR-associated endonuclease Cas9 n=2 Tax=Ruminococcus sp. OM08-7 TaxID=2292376 RepID=A0A417PQK5_9FIRM,0.7284720614669458
UniRef100_A0A1E9DYC7 CRISPR-associated endonuclease Cas9 n=1 Tax=Streptococcus sp. HMSC062B01 TaxID=1739284 RepID=A0A1E9DYC7_9STRE,0.7119785464147284
UniRef100_B6W3J8 CRISPR-associated endonuclease Cas9 n=2 Tax=Phocaeicola dorei TaxID=357276 RepID=B6W3J8_9BACT,0.46257499308975114
UniRef100_A0A2T5IVF0 CRISPR-associated endonuclease Cas9 n=1 Tax=Nitrosomonas ureae TaxID=44577 RepID=A0A2T5IVF0_9PROT,0.48025975116098274
UniRef100_A0A4Q1A910 Type II-B CRISPR-associated RNA-guided endonuclease Cas9/Csx12 n=1 Tax=Arcobacter sp. CECT 9299 TaxID=2044506 RepID=A0A4Q1A910_9PROT,0.7941403523239678
UniRef100_A0A428GD61 CRISPR-associated endonuclease Cas9 n=1 Tax=Streptococcus cristatus TaxID=45634 RepID=A0A428GD61_STRCR,0.9727789535879275
UniRef100_A0A7Z8WPM5 CRISPR-associated endonuclease Cas9 n=1 Tax=Enterococcus sp. N041.A-2 TaxID=2315836 RepID=A0A7Z8WPM5_9ENTE,0.5130847775859962
UniRef100_A0A3R9IHS7 CRISPR-associated endonuclease Cas9 n=1 Tax=Streptococcus cristatus TaxID=45634 RepID=A0A3R9IHS7_STRCR,0.9270042832854763
UniRef100_A0A414PBF9 CRISPR-associated endonuclease Cas9 n=1 Tax=Ruminococcus gnavus TaxID=33038 RepID=A0A414PBF9_RUMGN,0.7627014573482745
UniRef100_A0A6A8DEB7 CRISPR-associated endonuclease Cas9 n=1 Tax=Lactobacillus reuteri TaxID=1598 RepID=A0A6A8DEB7_LACRE,0.6557627521679484
UniRef100_A0A5B0DAS4 CRISPR-associated endonuclease Cas9 n=1 Tax=Streptococcus cristatus TaxID=45634 RepID=A0A5B0DAS4_STRCR,0.6477359727165376
UniRef100_A0A4R6CQE3 Type II CRISPR RNA-guided endonuclease Cas9 n=4 Tax=Lactobacillus crispatus TaxID=47770 RepID=A0A4R6CQE3_9LACO,0.8748746467772474
UniRef100_A0A0A2YBT2 CRISPR-associated endonuclease Cas9 n=1 Tax=Gallibacterium anatis IPDH697-78 TaxID=1396514 RepID=A0A0A2YBT2_9PAST,0.6135925744674353
UniRef100_A0A5C4THT2 CRISPR-associated endonuclease Cas9 n=1 Tax=Fructilactobacillus sanfranciscensis TaxID=1625 RepID=A0A5C4THT2_FRUSA,0.6878214589005689
UniRef100_A0A285BZY5 CRISPR-associated endonuclease Cas9 n=1 Tax=Nitrosomonas ureae TaxID=44577 RepID=A0A285BZY5_9PROT,0.685433003781046
UniRef100_A0A428GKX8 CRISPR-associated endonuclease Cas9 n=1 Tax=Streptococcus cristatus TaxID=45634 RepID=A0A428GKX8_STRCR,0.798770792522354
UniRef100_A0A1X3DJK4 CRISPR-associated endonuclease Cas9 n=1 Tax=Neisseria dumasiana TaxID=1931275 RepID=A0A1X3DJK4_9NEIS,0.39550124306298057
UniRef100_A0A413U935 CRISPR-associated endonuclease Cas9 n=1 Tax=Holdemanella biformis TaxID=1735 RepID=A0A413U935_9FIRM,0.5
UniRef100_A0A3A6E5R1 CRISPR-associated endonuclease Cas9 n=1 Tax=Subdoligranulum sp. AF14-43 TaxID=2302959 RepID=A0A3A6E5R1_9FIRM,0.6076498997382315
UniRef100_A0A5Z1RQY5 CRISPR-associated endonuclease Cas9 n=1 Tax=Campylobacter coli TaxID=195 RepID=A0A5Z1RQY5_CAMCO,0.8906595533769143
UniRef100_A0A5T0EBP6 CRISPR-associated endonuclease Cas9 n=1 Tax=Campylobacter coli TaxID=195 RepID=A0A5T0EBP6_CAMCO,0.8847752484490704
UniRef100_A0A7T9ZFB0 CRISPR-associated endonuclease Cas9 n=2 Tax=Pediococcus acidilactici TaxID=1254 RepID=A0A7T9ZFB0_PEDAC,0.8446484591746042
UniRef100_A0A8A8L871 Type II CRISPR RNA-guided endonuclease Cas9 n=2 Tax=Lactobacillus TaxID=1578 RepID=A0A8A8L871_LACGS,0.38438006875884256
UniRef100_A0A6G2JUX2 CRISPR-associated endonuclease Cas9 n=1 Tax=Acidimicrobiales bacterium TaxID=2201156 RepID=A0A6G2JUX2_9ACTN,0.4273017365443522
